dialog,movie,character,_id
"We are sitting on a field of victory enjoying a few well earned comforts, The salted pork is particularly good.",ObjectId(5cd95395de30eff6ebccde5d),ObjectId(5cd99d4bde30eff6ebccfe2e),ObjectId(5cd96e05de30eff6ebcce82f)
Show yourself.,ObjectId(5cd95395de30eff6ebccde5d),ObjectId(5cd99d4bde30eff6ebccfbe6),ObjectId(5cd96e05de30eff6ebcce830)
Well then let's just have his head and be done with it.,ObjectId(5cd95395de30eff6ebccde5d),ObjectId(5cd99d4bde30eff6ebccfd23),ObjectId(5cd96e05de30eff6ebcce831)
"Be careful. Even in defeat, Saruman is dangerous.",ObjectId(5cd95395de30eff6ebccde5d),ObjectId(5cd99d4bde30eff6ebccfea0),ObjectId(5cd96e05de30eff6ebcce832)
"You have fought many wars and slain many men Theoden King and made peace afterwards. Can we not take counsel together as we once did, my old friend?Can we not have peace you and I?",ObjectId(5cd95395de30eff6ebccde5d),ObjectId(5cd99d4bde30eff6ebccfea4),ObjectId(5cd96e05de30eff6ebcce833)
We shall have peace'. We shall have peace when you answer for the burning of the Westfold and the children that lie dead there! We shall have peace when the lives of the soldiers whose bodies were hewn even as they lay dead against the gates of the Hornburg' are avenged! When you hang from a gibbet for the sport of your own crows' we shall have peace!,ObjectId(5cd95395de30eff6ebccde5d),ObjectId(5cd99d4bde30eff6ebccfe19),ObjectId(5cd96e05de30eff6ebcce834)
Gibbets and crows! Dotard! What do you want Gandalf Grahame? Let me guess' the key of Orthanc? Or perhaps the keys of Barad D'r itself? Along with the crowns of the seven Kings and the rods of the Five Wizards!,ObjectId(5cd95395de30eff6ebccde5d),ObjectId(5cd99d4bde30eff6ebccfea4),ObjectId(5cd96e05de30eff6ebcce835)
"No, we need him alive. We need him to talk.",ObjectId(5cd95395de30eff6ebccde5d),ObjectId(5cd99d4bde30eff6ebccfea0),ObjectId(5cd96e05de30eff6ebcce836)
I'm sorry uncle. I'm afraid I lost it.,ObjectId(5cd95395de30eff6ebccde5d),ObjectId(5cd99d4bde30eff6ebccfc15),ObjectId(5cd96e05de30eff6ebcce837)
Your treachery has already cost many lives. Thousands more are now at risk. But you could save them Saruman. You were deep in the enemy's counsel.,ObjectId(5cd95395de30eff6ebccde5d),ObjectId(5cd99d4bde30eff6ebccfea0),ObjectId(5cd96e05de30eff6ebcce838)
I Aear c'n ven na mar.,ObjectId(5cd95395de30eff6ebccde5d),ObjectId(5cd99d4bde30eff6ebccfcc8),ObjectId(5cd96e05de30eff6ebcce839)
I think I'm quite ready for another adventure.,ObjectId(5cd95395de30eff6ebccde5d),ObjectId(5cd99d4bde30eff6ebccfc38),ObjectId(5cd96e05de30eff6ebcce83a)
"Farewell my brave Hobbits. My work is now finished. Here at last, on the shores of the sea, comes the end of our Fellowship. I will not say do not weep for not all tears are an evil. It is time Frodo.",ObjectId(5cd95395de30eff6ebccde5d),ObjectId(5cd99d4bde30eff6ebccfea0),ObjectId(5cd96e05de30eff6ebcce83b)
What does he mean?,ObjectId(5cd95395de30eff6ebccde5d),ObjectId(5cd99d4bde30eff6ebccfd0d),ObjectId(5cd96e05de30eff6ebcce83c)
Oh! Well here is a sight I have never seen before.,ObjectId(5cd95395de30eff6ebccde5d),ObjectId(5cd99d4bde30eff6ebccfc38),ObjectId(5cd96e05de30eff6ebcce83d)
The power of the three rings is ended. The time has come for the dominion of men.,ObjectId(5cd95395de30eff6ebccde5d),ObjectId(5cd99d4bde30eff6ebccfd06),ObjectId(5cd96e05de30eff6ebcce83e)
"Oh, pity. (He sighs.) I would have like to have held it one last time.",ObjectId(5cd95395de30eff6ebccde5d),ObjectId(5cd99d4bde30eff6ebccfc38),ObjectId(5cd96e05de30eff6ebcce83f)
"We set out to save the Shire Sam and it has been saved, but not for me.",ObjectId(5cd95395de30eff6ebccde5d),ObjectId(5cd99d4bde30eff6ebccfc15),ObjectId(5cd96e05de30eff6ebcce840)
You don't mean that. You can't leave.,ObjectId(5cd95395de30eff6ebccde5d),ObjectId(5cd99d4bde30eff6ebccfd0d),ObjectId(5cd96e05de30eff6ebcce841)
"So you have come here for information. I have some for you. Something festers in the heart of Middle Earth. Something that you have failed to see. But the great eye has seen it! Even now he presses his advantage. His attack will come soon. You are all going to die! But you know this don't you Gandalf? You cannot think that this Ranger will ever sit upon the throne of Gondor. This exile, crept from the shadows will never be crowned King. Gandalf does not hesitate to sacrifice those who are closest to him' those he professes to love! Tell me, what words of comfort did you give the Halfling before you sent him to his doom? The path that you have set him on can only lead to death.",ObjectId(5cd95395de30eff6ebccde5d),ObjectId(5cd99d4bde30eff6ebccfea4),ObjectId(5cd96e05de30eff6ebcce842)
Save your pity and your mercy. I have no use for it!,ObjectId(5cd95395de30eff6ebccde5d),ObjectId(5cd99d4bde30eff6ebccfea4),ObjectId(5cd96e05de30eff6ebcce843)
Saruman'.. your staff is broken!,ObjectId(5cd95395de30eff6ebccde5d),ObjectId(5cd99d4bde30eff6ebccfea0),ObjectId(5cd96e05de30eff6ebcce844)
Grima! You need not follow him! You were not always as you are now. You were once a man of Rohan. Come down.,ObjectId(5cd95395de30eff6ebccde5d),ObjectId(5cd99d4bde30eff6ebccfe19),ObjectId(5cd96e05de30eff6ebcce845)
I've heard enough! Shoot him! Stick an arrow in his gob!,ObjectId(5cd95395de30eff6ebccde5d),ObjectId(5cd99d4bde30eff6ebccfd23),ObjectId(5cd96e05de30eff6ebcce846)
The last pages are for you Sam.,ObjectId(5cd95395de30eff6ebccde5d),ObjectId(5cd99d4bde30eff6ebccfc15),ObjectId(5cd96e05de30eff6ebcce847)
Free? He will never be free!,ObjectId(5cd95395de30eff6ebccde5d),ObjectId(5cd99d4bde30eff6ebccfea4),ObjectId(5cd96e05de30eff6ebcce848)
No!,ObjectId(5cd95395de30eff6ebccde5d),ObjectId(5cd99d4bde30eff6ebccfe9d),ObjectId(5cd96e05de30eff6ebcce849)
"My dear Sam, you cannot always be torn in two. You will have to be one and whole for many years. You have so much to enjoy and to be and to do. Your part in the story will go on.",ObjectId(5cd95395de30eff6ebccde5d),ObjectId(5cd99d4bde30eff6ebccfc15),ObjectId(5cd96e05de30eff6ebcce84a)
"Well, I'm back.",ObjectId(5cd95395de30eff6ebccde5d),ObjectId(5cd99d4bde30eff6ebccfd0d),ObjectId(5cd96e05de30eff6ebcce84b)
I didn't think it would end this way.,ObjectId(5cd95395de30eff6ebccde5d),ObjectId(5cd99d4bde30eff6ebccfe2e),ObjectId(5cd96e05de30eff6ebcce84c)
"End? No, the journey doesn't end here. Death is just another path, one that we all must take. The grey rain curtain of this world rolls back and all turns to silvered glass. And then you see it.",ObjectId(5cd95395de30eff6ebccde5d),ObjectId(5cd99d4bde30eff6ebccfea0),ObjectId(5cd96e05de30eff6ebcce84d)
A man of Rohan? What is the house of Rohan but a thatched barn where brigands drink in the reek and their brats roll on the floor with the dogs? The victory at Helms Deep does not belong to you Theoden Horse Master. You are a lesser son of greater sires!,ObjectId(5cd95395de30eff6ebccde5d),ObjectId(5cd99d4bde30eff6ebccfea4),ObjectId(5cd96e05de30eff6ebcce84e)
Grima'. Come down! Be free of him!,ObjectId(5cd95395de30eff6ebccde5d),ObjectId(5cd99d4bde30eff6ebccfe19),ObjectId(5cd96e05de30eff6ebcce84f)
No! Come down Saruman and your life will be spared!,ObjectId(5cd95395de30eff6ebccde5d),ObjectId(5cd99d4bde30eff6ebccfea0),ObjectId(5cd96e05de30eff6ebcce850)
What? Gandalf? See what?,ObjectId(5cd95395de30eff6ebccde5d),ObjectId(5cd99d4bde30eff6ebccfe2e),ObjectId(5cd96e05de30eff6ebcce851)
Rally to me! To meeee!,ObjectId(5cd95395de30eff6ebccde5d),ObjectId(5cd99d4bde30eff6ebccfe19),ObjectId(5cd96e05de30eff6ebcce852)
Feast on his flesh.,ObjectId(5cd95395de30eff6ebccde5d),ObjectId(5cd9d576844dc4c55e47afee),ObjectId(5cd96e05de30eff6ebcce853)
I will kill you if you touch him.,ObjectId(5cd95395de30eff6ebccde5d),ObjectId(5cdbdecb6dc0baeae48cfa59),ObjectId(5cd96e05de30eff6ebcce854)
The City has fallen silent. There is no warmth left in the sun.,ObjectId(5cd95395de30eff6ebccde5d),ObjectId(5cd99d4bde30eff6ebccfcef),ObjectId(5cd96e05de30eff6ebcce855)
It grows so cold.,ObjectId(5cd95395de30eff6ebccde5d),ObjectId(5cdbdecb6dc0baeae48cfa59),ObjectId(5cd96e05de30eff6ebcce856)
It's just the damp of the first spring rain.,ObjectId(5cd95395de30eff6ebccde5d),ObjectId(5cd99d4bde30eff6ebccfcef),ObjectId(5cd96e05de30eff6ebcce857)
No. No it isn't.,ObjectId(5cd95395de30eff6ebccde5d),ObjectId(5cd99d4bde30eff6ebccfea0),ObjectId(5cd96e05de30eff6ebcce858)
"Well, that's not so bad.",ObjectId(5cd95395de30eff6ebccde5d),ObjectId(5cd99d4bde30eff6ebccfe2e),ObjectId(5cd96e05de30eff6ebcce859)
"White shores and beyond, a far green country under a swift sunrise.",ObjectId(5cd95395de30eff6ebccde5d),ObjectId(5cd99d4bde30eff6ebccfea0),ObjectId(5cd96e05de30eff6ebcce85a)
